id;dial;active_alert_id;dial_consumption;bucketdate;contract_status;contract_date;sim_num;vol_status_flag;apn_name;soft_disconnect;bill_cycle;m_2_m_monitoring_service
1;connecting Monaco;55969;96670;2022-05-08;indexing;2022-05-08;system convergence Washington;e-business access;methodologies;Chief;95783;deposit Incredible
2;generating;72972;93189;2022-05-08;Computer Branding deposit;2022-05-09;online gold Djibouti;revolutionary;system-worthy granular;generate Movies scalable;19773;function capacitor superstructure
3;Coordinator;64798;8353;2022-05-08;Up-sized;2022-05-09;functionalities;enhance Supervisor open-source;Bike Martinique;one-to-one transform;80995;Borders Cheese
4;reboot;68027;17860;2022-05-09;payment Shoes Ergonomic;2022-05-08;model Director;Table;Mountains Mandatory value-added;Multi-channelled olive;35690;architecture
5;Baby fuchsia;36300;62503;2022-05-09;expedite Electronics;2022-05-09;Kenyan input Total;Functionality;Handmade;Avon Sleek;19674;Legacy Exclusive Outdoors
6;HTTP website;36087;13099;2022-05-08;communities United Cotton;2022-05-09;Herzegovina scalable Bike;Computer;Corporate eyeballs Ohio;incubate Pizza;14090;Self-enabling SMTP neural
7;Montana SMTP;7917;94881;2022-05-08;encoding;2022-05-09;payment enterprise;bypassing reboot;Japan;Wooden Practical;15759;Archipelago)
8;capacitor;46041;39566;2022-05-08;architect Towels;2022-05-08;Metal background e-business;Kansas 24/7;Steel Intranet;microchip;65725;Incredible Response
9;input reintermediate cyan;96585;45241;2022-05-09;generating Usability Engineer;2022-05-08;Web Rupee;Berkshire Fish invoice;Somali Reduced;Phased Planner alliance;70216;AGP Fresh
10;backing Fall;46862;81189;2022-05-09;Zealand Account SMS;2022-05-09;transmitting Group;Agent Dobra;well-modulated Honduras Direct;hard index;47441;Sausages mindshare
